itemcode,itemname,Sequence,Wt,source_fct,fdc_id,food_desc,Edible_factor_in_FCT,ENERCkJ,ENERCkcal,WATERg,ASHg,PROCNTg,FAT_g_standardised,FIBTGg,ALCg,CHOAVLg,CHOAVLDFg,FEmg,ZNmg,VITA_RAEmcg,THIAmg,RIBFmg,NIAmg,FOLmcg_standardised,VITB6_mg_standardised,VITB12mcg,RETOLmcg,CARTBmcg,CARTAmcg,CRYPXBmcg,CARTBEQmcg
302,SWEETS,NA,1,From averages worksheet,NA,NA,1,1970.40821256039,471.024154589372,3.2880193236715001,1.65673913043478,6.75376811594203,20.0875603864734,3.3113526570048299,0,NA,NA,1.8851690821256,1.04753623188406,27.804347826087,7.4693236714975797E-2,0.147536231884058,2.2121376811594202,26.821256038647402,5.1190821256038702E-2,0.20207729468599001,27.545893719806799,2.57487922705314,0.32125603864734298,4.5893719806763301E-2,2.7584541062801899
303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS",NA,1,From averages worksheet,NA,NA,1,1127.4529914529901,266.641025641026,31.329059829059801,0.396581196581196,0.285470085470086,0.071794871794872,0.399145299145299,NA,NA,NA,1.48547008547008,0.93931623931624098,0.82051282051282,3.9316239316239301E-2,0.0153846153846154,0.0256410256410256,1.2991452991453001,2.6739044221805699E-2,0,0,NA,NA,NA,11.1196581196581
501,GROUNDNUTS IN SHELL/SHELLED,NA,NA,WA19,06_010,"Groundnut, shelled, dried, raw",1,2380,574,5.4,2.2000000000000002,22.4,44.2,8.3000000000000007,0,NA,17.399999999999999,3.5,2.61,2,0.87,0.14,15,110,0.23,0,0,23,0,0,23
502,COCONUTS (MATURE/IMMATURE),NA,1,From averages worksheet,NA,NA,0.499063962558502,1703.1918876755101,413.944617784711,38.232839313572498,0.99633385335413405,4.31201248049922,37.9661466458658,9.7663806552262091,NA,NA,8.8226209048361905,2.25967238689548,0.71863494539781603,0,7.8166926677067095E-2,0.0990639625585023,1.00733229329173,14.219968798751999,NA,0,0,NA,NA,NA,0
503,"CASHEW, ALMONDS AND OTHER NUTS",NA,1,From averages worksheet,NA,NA,0.9124,2521.6,608.68,5.7560000000000002,2.3479999999999999,16.32,51.324,7.5880000000000001,NA,NA,16.687999999999999,4.468,4.2476000000000003,2.68,0.56720000000000004,0.304,1.98,41.04,NA,0,0,NA,NA,NA,27.36
504,SEEDS AND PRODUCTS FROM NUTS/SEEDS (EXCL. COOKING OIL),NA,1,From averages worksheet,NA,NA,0.627813252045564,2460.05133964383,595.067704155302,5.8425637734638203,2.61015562329536,18.5836836194449,49.8904700786138,10.428012193165401,NA,NA,14.273431734317301,5.35353762233274,5.1255960211775999,0.775389058238409,0.86694368682817302,0.19801058880154,13.8110701107011,197.992299053425,NA,0,0,NA,NA,NA,6.3836034012514
603,"CANNED, DRIED, AND WILD VEGETABLES",NA,1,From averages worksheet,NA,NA,1,1194.0833333333301,285.583333333333,8.1750000000000007,8.6416666666666693,16.9416666666667,3.23333333333333,31.675000000000001,NA,NA,31.35,21.2,4.1775000000000002,219.166666666667,0.34749999999999998,0.743333333333333,5.2475,311.91666666666703,1.37666666666667,0,0,NA,NA,NA,2631.4166666666702
701,RIPE BANANAS,NA,NA,KE18,2009,"Potato, Irish (English), white variety, peeled, raw",0.85,447,105,72.099999999999994,1,2.4,0.1,1.68,NA,NA,22.7,1.4,0.32,0,7.0000000000000007E-2,0.04,1.2,53,0.15357798165137601,0,0,NA,NA,NA,0
704,SUGARCANE,NA,NA,TZ08,466,Sugarcane,1,NA,26,NA,NA,0,0,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
801,GOAT MEAT,NA,1,From averages worksheet,NA,NA,0.725,597.5,142.5,71.400000000000006,1,19.05,6.45,0,NA,NA,2.0499999999999998,4.55,3.46,12.5,0.16500000000000001,0.205,4.05,1.5,0.34454545454545399,2.7149999999999999,12.5,NA,NA,NA,0
802,BEEF (INCLUDING MINCED SAUSAGE),NA,1,From averages worksheet,NA,NA,0.884316552250191,748.42845156369197,179.201525553013,68.075774218154095,1.03646071700992,19.6311975591152,11.144233409611,1.51029748283753E-3,NA,NA,0.73920671243325697,5.66797101449275,3.6934553775743701,180.342105263158,1.9679633867276899E-3,0.227111365369947,4.37504195270786,3.59641495041953,0.27139954517673398,2.92154996186117,179.433333333333,NA,NA,NA,16.151563691838302
803,PORK (INCLUDING SAUSAGES AND BACON),NA,1,From averages worksheet,NA,NA,1,1206.3602484472001,289.981366459627,56.779006211180103,0.799378881987578,18.4991304347826,24.0654658385093,5.6521739130434699E-2,NA,NA,NA,1.09155279503106,1.5898136645962699,1.13043478260869,0.60372670807453399,0.167080745341615,3.76583850931677,NA,0.41806220809598399,0.60496894409937896,NA,NA,NA,NA,0.56521739130434701
805,WILD BIRDS AND INSECTS,NA,1,From averages worksheet,NA,NA,0.77,1163,278.666666666667,54.366666666666703,2.06666666666667,22.8233333333333,20.7666666666667,0.9,NA,NA,NA,4.81333333333333,NA,114.666666666667,NA,1.598,5.31533333333333,4.6666666666666696,0.40149181655032601,NA,114.666666666667,NA,NA,NA,NA
