itemcode,itemname.x,median,median_se,qt_q25,qt_q75,qt_q25_se,qt_q75_se,itemname.y,per
105,Maize (flour),222.58332126337788,5.1687947310951285,134.27171927486378,351.6477880248922,3.8392089349151366,9.46197159747331,MAIZE (FLOUR),90.7
101,Rice (paddy),220.78247279591935,25.173915800767464,73.59374991526003,385.143087882993,40.33912457477337,40.46140973147612,RICE (PADDY),1
207,Other starches,136.58093412468372,32.26381532450801,85.67899631941212,246.84620993248615,26.825127742316628,94.48163581194724,OTHER STARCHES,1
1082,Barley grain and other cereals,133.54999275802672,139.01578100442416,105.57317291966983,189.35311946431236,NA,NA,BARLEY GRAIN AND OTHER CEREALS,0.2
102,Rice (husked),119.55521316711172,3.0960444496272923,69.41648728085433,202.91255670870115,1.8237004179620888,5.763033812645162,RICE (HUSKED),70
1107,Local brews,111.82238093932679,18.91094597451081,42.93186686316277,221.3257254982398,6.762382602153214,37.47219531264013,LOCAL BREWS,4.8
202,Cassava dry/flour,111.75407650976364,9.686283233984717,58.65335185457811,202.92835872961396,3.943804003194526,23.251746774356384,CASSAVA DRY/FLOUR,14.8
203,Sweet potatoes,98.8076810264679,4.259968017184532,50.79483984142372,187.6683406734933,3.0299398779755298,11.803807025272922,SWEET POTATOES,27.8
901,Fresh milk,95.59533297881485,6.557389645985436,46.231237788259264,202.7487642500965,2.471980046969842,13.739131637846263,FRESH MILK,26
206,"Cooking bananas, plantains",70.19308307238722,4.14780533220445,37.51947547905892,137.12829965464203,1.7496868660014435,12.861966408336581,"COOKING BANANAS, PLANTAINS",32.5
1106,Bottled beer,67.40643350691856,17.50326663883882,37.438834223282434,119.98273327812828,8.951957378653235,33.89271124822831,BOTTLED BEER,1.7
704,Sugarcane,65.08073186272594,4.136677775915338,28.151287478698915,129.43607908020292,3.081635293814114,8.216965182788721,SUGARCANE,16.7
204,Yams/cocoyams,63.758616740563454,4.676647103318272,38.034796536877266,114.77439733160047,3.327114547592412,10.88693916243426,YAMS/COCOYAMS,7.2
8042,Other poultry,60.92127696560137,NA,29.216122912823007,131.64012396030856,NA,NA,OTHER POULTRY,0.4
201,Cassava fresh,57.5336648652065,1.405968511854002,35.07422399357245,98.48085432776385,1.4918896484970536,4.899059940204869,CASSAVA FRESH,28
205,Irish potatoes,55.27479764354293,2.771195588549466,30.111459360365217,106.83400261508464,2.081101145851682,5.621740585033916,IRISH POTATOES,26.9
103,"Maize (green, cob)",54.12226907666453,3.4852803135728547,27.071955362518274,112.60240219971509,2.2658831953259453,8.462721895616767,"MAIZE (GREEN, COB)",11.8
112,Other cereal products,53.682495734366974,15.916674008590219,28.573942978632626,118.8760064221888,6.855445248929137,27.208378047356543,OTHER CEREAL PRODUCTS,1.1
106,Millet and sorghum (grain),50.83977905986237,12.707289354591772,30.045659739963146,83.06726159147783,9.010981230867726,141.30151462500578,MILLET AND SORGHUM (GRAIN),0.8
1104,"Bottled/canned soft drinks (soda, juice, water)",49.115317718127194,1.4934734981310094,30.95864195093816,80.06253125633488,1.572994830214206,3.4692764697857985,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",22.2
107,Millet and sorghum (flour),48.532617268797495,3.909090709728044,24.72973434776115,103.14912619820844,2.630730640902617,15.488987494923434,MILLET AND SORGHUM (FLOUR),8.1
902,"Milk products (like cream, cheese, yoghurt etc)",48.18140029416242,2.929901608818638,27.0407502811245,95.80597653868881,1.354051233339882,8.411520437572136,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)",14.4
104,Maize (grain),47.659624054829635,2.6728395355280736,29.796941106283406,83.59234744972805,1.8253958070789915,7.2552392513934905,MAIZE (GRAIN),15.7
7033,Other fruits,46.61117870525811,3.0117487908066107,27.349609026836436,103.26201661131371,3.4771148677727393,9.443528464724194,OTHER FRUITS,5.9
1081,Wheat flour,46.19958101868383,2.1948251246433217,29.717633141689753,78.63261962104527,1.3213453607509702,3.1776566107863293,WHEAT FLOUR,17.6
7031,Mangoes,46.10517663931655,3.953633985326525,20.75186477653872,107.285287823758,1.4680451273488628,16.41056046850052,MANGOES,23.2
806,Other domestic/wild meat products,45.236491401550076,NA,45.236491401550076,157.55368478941668,NA,0,OTHER DOMESTIC/WILD MEAT PRODUCTS,0.1
804,Chicken and other poultry,43.52935288677329,7.348387573812882,21.707343126374106,61.23539521804328,3.9921787932047685,13.086165189576946,NA,NA
601,"Onions, tomatoes, carrots and green pepper, other viungo",43.37128721175845,3.6299045538224206,21.968200818743778,76.45953352714854,2.2845291866817092,4.8006553475545175,NA,NA
703,"Mangoes, avocadoes and other fruits",43.30182918691831,7.228988657130792,24.040778087476358,84.7306860514407,4.070672219735257,34.18378607948208,NA,NA
401,"Peas, beans, lentils and other pulses",42.3706085686115,4.209152741041131,28.43162972820801,82.4169482423686,2.763945411457847,5.477181674796288,NA,NA
4013,"Other beans, lentils, and pulses",40.14598151306817,1.3843795505276542,23.637027521707996,69.07831479763895,1.0854248991326243,2.4181175325562774,"OTHER BEANS, LENTILS, AND PULSES",52
4012,Green beans,39.83377263327349,3.335168548740304,22.50155791174017,73.8686059840454,1.1154335080203088,5.615700830953226,GREEN BEANS,21.4
6012,Tomatoes,39.34306188280679,1.162863282221534,21.347837167312008,70.49686907214392,0.6861170539866439,1.7569906565476923,TOMATOES,90.7
701,Ripe bananas,39.195179164587955,1.5737604259789826,20.03776097328088,69.89903883290101,0.8699495304011348,3.600800950683514,RIPE BANANAS,29.8
