hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,educ_head,year,month,survey_wgt,ea,hhsize,headwork,educ_head2
1006-001-01,2,22,Rural,4,4,59,Male,18,2021,9,1714.21135008492,NA,4,11,2
1006-001-01,2,22,Rural,4,4,59,Male,18,2021,9,1714.21135008492,NA,4,14,2
1006-001-01,2,22,Rural,4,4,59,Male,18,2021,9,1714.21135008492,NA,4,14,2
1006-001-03,2,23,Rural,4,5,31,Male,17,2021,9,3029.25591105165,NA,3,7,1
1006-001-03,2,23,Rural,4,5,31,Male,17,2021,9,3029.25591105165,NA,3,10,1
1006-001-03,2,23,Rural,4,5,31,Male,17,2021,9,3029.25591105165,NA,3,17,1
1006-001-04,2,22,Rural,4,5,28,Male,18,2021,9,2477.55829522582,NA,4,10,2
1006-001-04,2,22,Rural,4,5,28,Male,18,2021,9,2477.55829522582,NA,4,11,2
1006-001-04,2,22,Rural,4,5,28,Male,18,2021,9,2477.55829522582,NA,4,17,2
1006-001-04,2,22,Rural,4,5,28,Male,18,2021,9,2477.55829522582,NA,4,17,2
1006-001-05,2,22,Rural,4,5,42,Male,18,2021,9,3019.47699999149,NA,3,7,2
1006-001-05,2,22,Rural,4,5,42,Male,18,2021,9,3019.47699999149,NA,3,11,2
1006-001-05,2,22,Rural,4,5,42,Male,18,2021,9,3019.47699999149,NA,3,17,2
1007-001-01,2,22,Rural,3,4,29,Male,18,2021,9,7003.34176780667,NA,5,1,2
1007-001-01,2,22,Rural,3,4,29,Male,18,2021,9,7003.34176780667,NA,5,1,2
1007-001-01,2,22,Rural,3,4,29,Male,18,2021,9,7003.34176780667,NA,5,14,2
1007-001-01,2,22,Rural,3,4,29,Male,18,2021,9,7003.34176780667,NA,5,17,2
1007-001-01,2,22,Rural,3,4,29,Male,18,2021,9,7003.34176780667,NA,5,17,2
1009-001-01,2,22,Rural,5,5,42,Male,18,2021,9,3752.09259547691,NA,4,1,2
1009-001-01,2,22,Rural,5,5,42,Male,18,2021,9,3752.09259547691,NA,4,1,2
1009-001-01,2,22,Rural,5,5,42,Male,18,2021,9,3752.09259547691,NA,4,14,2
1009-001-01,2,22,Rural,5,5,42,Male,18,2021,9,3752.09259547691,NA,4,14,2
1019-001-01,2,22,Urban,3,2,37,Female,18,2020,12,2563.46913177814,NA,3,16,2
1019-001-01,2,22,Urban,3,2,37,Female,18,2020,12,2563.46913177814,NA,3,14,2
1019-001-01,2,22,Urban,3,2,37,Female,18,2020,12,2563.46913177814,NA,3,17,2
1020-001-01,2,22,Urban,4,3,45,Male,24,2020,12,1308.9528977875,NA,3,10,3
1020-001-01,2,22,Urban,4,3,45,Male,24,2020,12,1308.9528977875,NA,3,10,3
1020-001-01,2,22,Urban,4,3,45,Male,24,2020,12,1308.9528977875,NA,3,14,3
1021-001-01,2,22,Urban,5,5,33,Male,24,2020,12,1517.40407214854,NA,1,9,3
1022-001-01,2,22,Urban,2,1,40,Male,34,2020,12,2721.49752691269,304,6,4,3
1022-001-01,2,22,Urban,2,1,40,Male,34,2020,12,2721.49752691269,304,6,10,3
1022-001-01,2,22,Urban,2,1,40,Male,34,2020,12,2721.49752691269,304,6,14,3
1022-001-01,2,22,Urban,2,1,40,Male,34,2020,12,2721.49752691269,304,6,14,3
1022-001-01,2,22,Urban,2,1,40,Male,34,2020,12,2721.49752691269,304,6,17,3
1022-001-01,2,22,Urban,2,1,40,Male,34,2020,12,2721.49752691269,304,6,17,3
1023-001-01,2,22,Urban,3,2,34,Male,18,2020,12,1741.56840186796,NA,4,10,2
1023-001-01,2,22,Urban,3,2,34,Male,18,2020,12,1741.56840186796,NA,4,16,2
1023-001-01,2,22,Urban,3,2,34,Male,18,2020,12,1741.56840186796,NA,4,14,2
1023-001-01,2,22,Urban,3,2,34,Male,18,2020,12,1741.56840186796,NA,4,17,2
1024-001-01,17,175,Urban,4,3,36,Male,43,2021,2,1423.31526116363,NA,3,7,3
1024-001-01,17,175,Urban,4,3,36,Male,43,2021,2,1423.31526116363,NA,3,7,3
1024-001-01,17,175,Urban,4,3,36,Male,43,2021,2,1423.31526116363,NA,3,17,3
1025-001-02,2,22,Urban,5,4,43,Female,18,2020,12,1828.55323081911,0,1,1,2
1038-001-02,2,23,Urban,2,1,33,Female,22,2021,10,1001.09749699098,0,4,7,3
1038-001-02,2,23,Urban,2,1,33,Female,22,2021,10,1001.09749699098,0,4,14,3
1038-001-02,2,23,Urban,2,1,33,Female,22,2021,10,1001.09749699098,0,4,14,3
1038-001-02,2,23,Urban,2,1,33,Female,22,2021,10,1001.09749699098,0,4,14,3
1039-001-01,2,23,Urban,2,1,38,Male,18,2021,10,443.241295659028,NA,5,16,2
1039-001-01,2,23,Urban,2,1,38,Male,18,2021,10,443.241295659028,NA,5,7,2
1039-001-01,2,23,Urban,2,1,38,Male,18,2021,10,443.241295659028,NA,5,14,2
1039-001-01,2,23,Urban,2,1,38,Male,18,2021,10,443.241295659028,NA,5,14,2
1039-001-01,2,23,Urban,2,1,38,Male,18,2021,10,443.241295659028,NA,5,14,2
1041-001-01,2,23,Urban,5,5,76,Male,19,2021,10,794.750598954127,NA,1,16,3
1042-001-01,2,23,Urban,5,4,35,Male,18,2021,10,905.509405526981,NA,3,1,2
1042-001-01,2,23,Urban,5,4,35,Male,18,2021,10,905.509405526981,NA,3,16,2
1042-001-01,2,23,Urban,5,4,35,Male,18,2021,10,905.509405526981,NA,3,17,2
1042-001-02,2,23,Urban,5,5,27,Female,24,2021,10,795.279275970641,NA,1,9,3
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,10,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,16,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,14,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,14,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,14,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,14,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,14,1
1043-001-01,2,23,Urban,5,5,44,Male,16,2021,10,1392.94997818249,NA,8,17,1
1044-001-01,2,23,Urban,3,2,47,Male,18,2021,10,456.267671778631,3,3,7,2
1044-001-01,2,23,Urban,3,2,47,Male,18,2021,10,456.267671778631,3,3,14,2
1044-001-01,2,23,Urban,3,2,47,Male,18,2021,10,456.267671778631,3,3,14,2
1045-001-01,2,23,Urban,4,3,57,Male,18,2021,10,586.021094648001,NA,2,11,2
1045-001-01,2,23,Urban,4,3,57,Male,18,2021,10,586.021094648001,NA,2,7,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,1,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,1,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,14,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,14,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,17,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,17,2
1058-001-01,23,234,Rural,3,3,33,Male,18,2021,12,3698.91526316242,NA,7,17,2
1059-001-01,2,24,Rural,4,5,57,Male,18,2021,11,3269.79051551473,NA,15,1,2
1059-001-01,2,24,Rural,4,5,57,Male,18,2021,11,3269.79051551473,NA,15,1,2
1059-001-01,2,24,Rural,4,5,57,Male,18,2021,11,3269.79051551473,NA,15,1,2
1059-001-01,2,24,Rural,4,5,57,Male,18,2021,11,3269.79051551473,NA,15,1,2
1059-001-01,2,24,Rural,4,5,57,Male,18,2021,11,3269.79051551473,NA,15,11,2
