hhid,groupcode,groupname,grpcons,cons
1006-001-01,12,Milk and milk products,450.5055207231057,1
1006-001-01,13,Spices and other foods,15.250694675799108,1
1006-001-03,1,Cereals and cereal products,82.75542496704931,1
1006-001-03,2,Starches,186.57586719843843,1
1006-001-03,3,"Pulses, dry",12.538700752583233,1
1006-001-03,4,Vegetables,168.16733586981843,1
1006-001-03,5,Fruits,84.21743747480052,1
1006-001-03,6,Beverages,2.507740150516646,1
1006-001-03,7,Sugar and sweets,37.61610225774969,1
1006-001-03,8,Nuts and seeds,11.388856902913412,1
1006-001-03,9,"Meat, meat products and fish",29.198033659889163,1
1006-001-03,10,Eggs,7.4178953652282384,1
1006-001-03,11,Oil and fats,22.845512771206643,1
1006-001-03,12,Milk and milk products,52.91331717590123,1
1006-001-03,13,Spices and other foods,6.269350376291614,1
1006-001-04,1,Cereals and cereal products,601.1499937468914,1
1006-001-04,2,Starches,155.43766645182671,1
1006-001-04,3,"Pulses, dry",62.17506658073069,1
1006-001-04,4,Vegetables,90.53621179834717,1
1006-001-04,5,Fruits,80.82758655494989,1
1006-001-04,6,Beverages,1.6580017754861516,1
1006-001-04,7,Sugar and sweets,41.450044387153795,1
1006-001-04,8,Nuts and seeds,10.343111700039383,1
1006-001-04,9,"Meat, meat products and fish",30.051282180686496,1
1006-001-04,10,NA,NA,0
1006-001-04,11,Oil and fats,37.71954039230995,1
1006-001-04,12,Milk and milk products,200.32806452311428,1
1006-001-04,13,Spices and other foods,5.181255548394224,1
1006-001-05,1,Cereals and cereal products,301.16331224230333,1
1006-001-05,2,Starches,189.12527652128506,1
1006-001-05,3,"Pulses, dry",26.417834407219598,1
1006-001-05,4,Vegetables,112.81458425327261,1
1006-001-05,5,Fruits,89.0016841179228,1
1006-001-05,6,Beverages,73.9276678051633,1
1006-001-05,7,Sugar and sweets,52.83566881443919,1
1006-001-05,8,NA,NA,0
1006-001-05,9,"Meat, meat products and fish",50.52762463645741,1
1006-001-05,10,Eggs,2.2983515934281047,1
1006-001-05,11,Oil and fats,48.080458621139655,1
