groupcode,median,median_se,qt_q25,qt_q75,qt_q25_se,qt_q75_se,cons,per,per_se
1,323.8486479827843,12.117339663229739,240.15627936792723,442.5026508963125,10.679809032613806,17.506047602535002,1,0.9999999999973879,0
2,125.39044935463853,12.949920428157688,59.7048366181926,211.71672700591978,6.837337325834141,20.276061101326764,1,0.7476760645811874,0.047454359056022626
3,48.26835778808161,5.864217953061831,28.42789181280575,78.87596706652387,2.792879999839478,8.666672831465936,1,0.7933404800110306,0.03164411584253229
4,106.53720404638868,12.183907874057827,57.707043991803,180.07057037368227,8.640096964082572,13.798247325387893,1,0.9844870404573831,0.009535618560921407
5,75.83321511549127,9.815658736815099,39.000075209975165,169.86043683440397,5.145816161478306,20.728543311054164,1,0.7703695925187602,0.04942115128812981
6,2.971763314168975,3.2077721629972866,1.0751023966555058,50.45213538826137,0.10257580416738388,11.256004647567543,1,0.703992289700222,0.032772406350550114
7,34.7894688597317,1.958001314267677,23.338660717061607,51.57475395668185,1.3931789076906167,3.7007018552240525,1,0.9050954951918515,0.023090329247515685
8,22.169290785960182,3.625483272362032,12.341719216612772,35.96779034293057,1.5906166167615792,5.0594596580986,1,0.24102836221423918,0.03231882557089354
9,42.20469682446677,3.794655359284536,22.235601912642114,89.73748445828153,2.538931900533823,9.310741451780073,1,0.8062233600343337,0.05791482540312506
10,10.465888112019384,1.977556547637372,5.003828314010505,19.364748949913878,1.2458843112194633,4.570289937704358,1,0.247430468454601,0.029008838608058647
11,24.157053451684614,1.9267415225457423,16.19692698480212,37.66872499645009,1.148986263921608,2.603075078085916,1,0.9634068941807952,0.01667171999063298
12,140.9150639606067,25.300108697448543,59.5478254739285,352.8098548850162,7.391078420373126,58.33026243110226,1,0.7353694721688889,0.03890625593197277
13,7.694736843939332,0.45660924976167905,5.429976224166745,12.463043853844658,0.14795183414727006,0.9265464181596447,1,0.989151856129843,0.0077135180218775995
