hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,year,month,hhsize,work_head,educ_head,educ_head2
1179-001-06,6,67,Urban,5,4,32,Male,2021,1,1,7,25,3
1191-001-01,7,74,Urban,2,1,64,Male,2021,1,7,16,24,3
1192-001-01,7,71,Urban,5,5,48,Male,2021,1,4,10,18,2
1193-001-01,7,72,Urban,2,1,51,Male,2021,1,6,10,18,2
1194-001-01,7,71,Urban,4,2,44,Male,2021,1,5,7,18,2
1194-001-04,7,74,Urban,3,2,25,Male,2021,1,3,7,24,3
1195-001-01,7,71,Urban,5,5,48,Female,2021,1,3,10,24,3
1196-001-01,7,71,Urban,4,3,59,Male,2021,1,8,7,24,3
1196-001-04,7,74,Urban,5,5,27,Male,2021,1,1,7,25,3
1198-001-01,6,67,Urban,1,1,59,Male,2021,2,6,1,18,2
1201-001-01,7,74,Urban,5,4,68,Male,2021,1,6,7,18,2
1209-001-01,7,74,Urban,5,4,41,Male,2021,2,6,5,24,3
1210-001-01,7,71,Urban,4,3,37,Male,2021,2,6,5,18,2
1212-001-01,7,71,Urban,5,4,37,Female,2021,2,5,10,18,2
1213-001-01,7,71,Urban,4,3,52,Male,2021,2,5,10,18,2
1215-001-01,7,71,Urban,5,5,49,Male,2021,2,2,7,18,2
1217-001-01,7,74,Urban,4,3,52,Male,2021,2,4,7,18,2
1229-001-01,7,71,Urban,5,5,36,Male,2020,12,6,7,41,3
1230-001-01,7,71,Urban,5,5,63,Male,2020,12,4,10,23,3
1232-001-01,7,71,Urban,5,4,59,Male,2020,12,9,9,25,3
1232-001-03,7,71,Urban,5,5,29,Male,2020,12,1,10,2,1
1232-001-04,7,73,Urban,4,3,29,Male,2020,12,3,7,24,3
1233-001-01,7,71,Urban,5,5,59,Male,2020,12,6,1,25,3
1235-001-02,7,71,Urban,3,1,36,Female,2020,12,4,16,18,2
1236-001-01,7,71,Urban,2,1,36,Male,2020,12,6,10,15,1
1236-001-04,4,42,Urban,3,2,59,Female,2021,1,2,1,NA,3
1239-001-01,7,71,Urban,3,2,37,Female,2020,12,3,10,13,1
1239-001-02,7,71,Urban,3,2,36,Female,2020,12,3,10,18,2
1247-001-01,7,72,Urban,4,3,41,Male,2021,2,6,10,24,3
1248-001-01,7,71,Urban,5,5,56,Male,2021,2,2,10,18,2
1249-001-01,7,71,Urban,5,4,49,Male,2021,2,4,7,18,2
1250-001-01,6,62,Rural,4,4,41,Male,2021,2,4,7,18,2
1252-001-01,7,71,Urban,4,2,50,Male,2021,2,5,9,24,3
1253-001-01,7,72,Urban,4,2,38,Female,2021,2,4,10,18,2
1254-001-01,7,71,Urban,5,4,50,Male,2021,2,7,9,24,3
1266-001-02,7,71,Urban,4,2,42,Female,2021,2,5,10,18,2
1268-001-01,17,175,Urban,4,3,34,Male,2021,9,7,9,34,3
1269-001-01,7,71,Urban,3,1,37,Male,2021,2,5,9,24,3
1270-001-01,7,74,Urban,4,3,35,Male,2021,2,4,7,18,2
1272-001-01,7,72,Urban,4,2,49,Male,2021,2,7,NA,NA,3
1273-001-01,7,71,Urban,2,1,46,Male,2021,2,7,10,18,2
1285-001-02,7,75,Urban,5,5,37,Male,2021,3,5,5,41,3
1286-001-01,7,74,Urban,5,4,34,Male,2021,3,3,10,25,3
1287-001-01,7,71,Urban,3,2,48,Male,2021,3,4,7,18,2
1289-001-01,7,71,Urban,2,1,51,Male,2021,3,8,10,18,2
1290-001-01,7,71,Urban,5,4,52,Male,2021,3,4,7,32,3
1291-001-01,7,71,Urban,5,4,51,Male,2021,3,5,7,18,2
1294-001-01,7,71,Urban,5,5,32,Male,2021,3,3,9,34,3
1304-001-01,7,74,Urban,5,4,36,Female,2021,3,1,13,18,2
1305-001-01,3,34,Urban,5,5,67,Male,2021,9,1,1,24,3
1306-001-01,7,74,Urban,4,2,47,Female,2021,1,3,10,16,1
1307-001-01,7,74,Urban,2,1,69,Male,2021,1,3,10,NA,3
1309-001-01,7,74,Urban,5,4,37,Male,2021,2,8,10,18,2
1312-001-01,1,15,Urban,3,2,55,Female,2021,9,2,10,18,2
1323-001-01,7,74,Urban,2,1,40,Male,2021,3,8,7,2,1
1323-001-04,23,231,Urban,4,3,24,Male,2021,12,1,7,18,2
1323-001-05,7,74,Urban,5,4,27,Male,2021,3,1,10,NA,3
1325-001-01,7,71,Urban,4,3,47,Male,2021,3,4,7,24,3
1325-001-05,26,264,Urban,4,3,29,Female,2021,12,2,10,24,3
1328-001-01,7,74,Urban,5,4,54,Male,2021,3,4,10,18,2
1329-001-01,7,74,Urban,5,5,59,Male,2021,3,5,7,18,2
1331-001-01,7,74,Urban,5,4,57,Female,2021,3,4,7,18,2
1332-001-01,7,74,Urban,4,3,40,Male,2021,3,2,7,18,2
1333-001-01,7,74,Urban,5,4,49,Male,2021,3,5,7,24,3
1342-001-01,7,71,Urban,3,2,47,Male,2020,12,6,10,24,3
1344-001-01,7,74,Urban,5,4,51,Female,2020,12,4,8,18,2
1345-001-01,7,74,Urban,4,3,45,Female,2020,12,5,16,15,1
1346-001-01,7,74,Urban,4,3,39,Male,2020,12,4,10,24,3
1347-001-01,7,71,Urban,5,5,28,Male,2021,1,2,6,NA,3
1348-001-01,7,72,Urban,5,5,31,Male,2020,12,9,5,44,3
1350-001-01,7,74,Urban,3,2,46,Male,2020,12,6,7,18,2
1350-001-04,7,71,Urban,4,2,17,Male,2020,12,1,7,22,3
1361-001-01,7,71,Urban,5,5,45,Female,2021,3,3,5,45,3
1364-001-01,7,71,Urban,4,3,35,Male,2021,3,1,7,24,3
1364-001-04,7,71,Urban,5,5,22,Female,2021,3,2,10,24,3
1366-001-01,7,71,Urban,5,5,87,Female,2021,3,3,15,19,3
1368-001-01,7,71,Urban,5,5,39,Female,2021,3,4,6,45,3
1380-001-02,7,71,Urban,3,2,63,Female,2021,3,9,10,18,2
1383-001-01,7,71,Urban,3,2,27,Male,2021,7,4,7,21,3
1384-001-01,7,71,Urban,5,4,33,Male,2021,3,3,7,15,1
1385-001-01,7,71,Urban,5,4,44,Female,2021,3,3,10,18,2
1386-001-01,7,71,Urban,5,4,38,Female,2021,3,2,9,18,2
1387-001-02,7,71,Urban,5,5,33,Female,2021,3,3,10,22,3
1399-001-01,7,72,Urban,3,2,40,Male,2021,9,6,10,18,2
1399-001-04,7,72,Urban,5,4,21,Male,2021,10,1,7,18,2
1401-001-01,5,25,Urban,4,4,39,Male,2021,11,7,7,34,3
1402-001-01,7,72,Urban,4,2,43,Male,2021,9,6,7,16,1
1403-001-01,7,72,Urban,2,1,34,Male,2021,9,5,1,18,2
1406-001-01,7,72,Urban,4,4,40,Female,2021,9,3,10,18,2
1407-001-01,7,72,Urban,4,3,37,Male,2021,9,5,10,18,2
1419-001-01,7,72,Urban,3,1,55,Male,2021,2,4,7,34,3
1420-001-01,7,72,Urban,4,2,53,Male,2021,2,6,NA,NA,3
1421-001-01,7,72,Urban,5,5,58,Female,2021,2,2,11,24,3
1423-001-01,7,72,Urban,3,2,53,Male,2021,2,3,7,18,2
1424-001-02,7,72,Urban,4,3,44,Female,2021,2,2,9,18,2
1425-001-01,7,72,Urban,4,3,47,Female,2021,2,3,10,24,3
1426-001-01,7,72,Urban,4,3,60,Male,2021,2,3,1,18,2
1426-001-02,7,72,Urban,4,3,57,Female,2021,2,1,10,22,3
1429-001-01,5,55,Urban,1,1,48,Male,2021,9,3,16,NA,3
1437-001-01,7,72,Urban,4,2,48,Male,2021,2,10,10,18,2
1438-001-01,7,72,Urban,4,2,61,Male,2021,2,4,9,18,2
1438-001-03,7,72,Urban,4,3,39,Male,2021,2,3,10,22,3
1439-001-01,7,72,Urban,4,3,45,Male,2021,5,3,7,18,2
1440-001-01,6,64,Rural,3,4,51,Male,2021,3,4,9,18,2
1441-001-01,7,72,Urban,4,3,42,Female,2021,2,4,10,18,2
1442-001-01,7,72,Urban,1,1,36,Male,2021,2,5,7,18,2
1443-001-01,7,72,Urban,3,2,50,Male,2021,2,6,10,18,2
1457-001-01,7,72,Urban,3,2,34,Male,2021,2,4,10,25,3
1458-001-02,16,161,Urban,3,2,27,Male,2021,9,4,7,18,2
1459-001-01,1,16,Urban,3,2,38,Male,2021,9,5,1,NA,3
1462-001-01,7,72,Urban,5,5,56,Male,2021,2,4,7,24,3
1463-001-01,7,72,Urban,5,4,66,Male,2021,2,5,16,18,2
1476-001-01,7,72,Urban,5,5,73,Male,2020,12,2,9,18,2
1477-001-01,7,72,Urban,5,5,51,Male,2020,12,2,7,25,3
1478-001-01,7,72,Urban,5,5,44,Male,2020,12,3,7,25,3
1481-001-01,7,72,Urban,5,5,59,Male,2020,12,4,8,24,3
1483-001-01,7,72,Urban,5,5,70,Male,2020,12,6,10,19,3
1486-001-02,7,72,Urban,5,4,68,Female,2020,12,5,16,18,2
1494-001-01,7,72,Urban,4,3,64,Male,2021,3,3,15,22,3
1495-001-01,7,73,Urban,4,3,35,Male,2021,3,4,7,18,2
1497-001-01,7,72,Urban,5,4,60,Female,2021,3,6,16,15,1
1498-001-01,7,72,Urban,5,4,38,Male,2021,3,4,9,22,3
1499-001-01,6,64,Urban,4,3,48,Male,2021,3,5,7,24,3
1500-001-01,7,72,Urban,5,4,56,Male,2021,3,1,7,16,1
1500-001-02,7,72,Urban,5,4,44,Female,2021,3,2,7,18,2
1500-001-03,7,72,Urban,3,2,26,Male,2021,3,1,13,18,2
1501-001-01,7,72,Urban,5,4,74,Female,2021,3,4,15,NA,3
1501-001-04,7,73,Urban,5,4,31,Male,2021,3,3,10,18,2
1514-001-01,7,72,Urban,1,1,40,Male,2021,3,4,10,NA,3
1515-001-01,7,72,Urban,4,3,38,Male,2021,3,4,10,18,2
1517-001-01,7,72,Urban,3,2,47,Male,2021,3,4,10,18,2
1518-001-01,7,72,Urban,5,4,30,Male,2021,3,2,10,24,3
1519-001-01,7,72,Urban,3,2,45,Male,2021,3,5,7,18,2
1519-001-03,7,71,Urban,5,4,36,Male,2021,3,3,7,18,2
1520-001-01,7,72,Urban,5,5,60,Male,2021,3,5,10,25,3
1520-001-05,7,72,Urban,5,5,28,Male,2021,3,1,6,43,3
1532-001-01,7,72,Urban,3,1,54,Male,2020,12,8,10,18,2
1533-001-01,7,72,Urban,5,5,63,Male,2020,12,2,7,24,3
1534-001-01,7,72,Urban,3,2,40,Male,2020,12,4,10,18,2
1536-001-01,7,72,Urban,3,2,53,Male,2020,12,8,7,18,2
1537-001-01,7,72,Urban,4,3,47,Male,2020,12,5,10,18,2
1538-001-01,7,72,Urban,4,3,31,Male,2020,12,4,7,18,2
1539-001-01,7,72,Urban,4,4,37,Male,2020,12,4,9,18,2
1541-001-01,7,72,Urban,5,5,48,Male,2020,12,3,10,18,2
1551-001-01,7,72,Urban,1,1,37,Male,2021,1,7,10,18,2
1552-001-01,7,72,Urban,3,2,36,Male,2021,1,3,7,14,1
1553-001-01,7,72,Urban,5,4,71,Male,2021,1,1,16,22,3
1553-001-03,7,72,Urban,4,3,29,Male,2021,1,8,7,18,2
1554-001-01,7,72,Urban,5,5,27,Male,2021,1,1,7,18,2
1554-001-02,7,72,Urban,3,2,26,Female,2021,2,1,10,18,2
1555-001-01,7,72,Urban,4,3,51,Male,2021,1,3,7,18,2
1556-001-01,7,72,Urban,4,2,41,Male,2021,1,8,7,18,2
1557-001-01,7,72,Urban,2,1,56,Male,2021,1,8,9,18,2
1557-001-03,7,72,Urban,4,4,27,Male,2021,1,3,7,24,3
1557-001-07,7,72,Urban,4,3,30,Male,2021,1,1,7,25,3
1559-001-01,7,72,Urban,3,2,57,Male,2021,1,9,9,18,2
1571-001-01,7,75,Urban,5,4,77,Female,2021,11,1,10,NA,3
1572-001-01,2,75,Urban,5,5,68,Male,2021,11,7,10,43,3
1572-001-04,7,75,Urban,5,5,30,Male,2021,11,3,10,NA,3
1573-001-01,7,75,Urban,5,4,57,Male,2021,11,7,5,NA,3
1573-001-02,7,75,Urban,5,5,25,Male,2021,11,1,10,24,3
1575-001-02,7,75,Urban,3,2,39,Female,2021,11,2,10,18,2
1575-001-03,7,75,Urban,5,5,21,Male,2021,11,1,7,18,2
1576-001-02,7,75,Urban,4,2,39,Female,2021,11,5,10,24,3
1589-001-01,7,73,Urban,3,2,36,Female,2021,2,2,10,18,2
1589-001-02,9,95,Urban,2,1,40,Male,2021,12,5,10,18,2
1590-001-01,7,73,Urban,5,5,45,Female,2021,2,3,10,18,2
1591-001-01,7,73,Urban,5,4,56,Male,2021,2,3,10,18,2
1591-001-02,7,73,Urban,3,2,42,Male,2021,2,7,10,24,3
1592-001-01,7,73,Urban,4,3,37,Male,2021,2,5,10,24,3
1593-001-01,6,64,Urban,5,4,32,Male,2021,2,6,10,24,3
1594-001-01,7,73,Urban,5,4,67,Male,2021,2,4,NA,NA,3
1595-001-01,7,73,Urban,1,1,56,Male,2021,2,6,10,18,2
1596-001-01,18,183,Urban,5,5,63,Male,2021,9,2,1,25,3
1611-001-01,7,73,Urban,2,1,44,Female,2021,3,8,9,NA,3
1612-001-01,7,74,Urban,5,4,36,Male,2021,3,7,8,34,3
1613-001-01,7,73,Urban,3,2,56,Male,2021,3,5,10,18,2
1614-001-01,7,73,Urban,4,3,37,Male,2021,3,5,16,18,2
1615-001-01,7,73,Urban,1,1,43,Female,2021,3,7,10,18,2
1627-001-01,7,73,Urban,4,4,53,Female,2021,10,3,10,18,2
1628-001-01,6,67,Urban,5,5,30,Male,2021,11,3,7,18,2
1629-001-01,7,73,Urban,5,4,46,Female,2021,10,1,7,NA,3
1632-001-01,7,73,Urban,2,1,67,Male,2021,10,6,7,18,2
1633-001-01,7,73,Urban,3,2,47,Male,2021,10,6,13,25,3
1633-001-04,7,73,Urban,4,3,32,Male,2021,10,2,10,22,3
1635-001-01,7,73,Urban,1,1,52,Female,2021,12,6,16,18,2
1638-001-01,7,73,Urban,2,1,32,Female,2021,10,6,10,18,2
1646-001-01,7,72,Urban,3,2,51,Male,2021,3,1,13,17,1
1648-001-01,7,73,Urban,5,4,54,Male,2021,3,2,10,18,2
1649-001-01,7,73,Urban,3,2,48,Male,2021,3,5,16,1,1
1651-001-01,6,64,Urban,4,3,36,Female,2021,3,5,10,18,2
1652-001-01,7,73,Urban,5,5,29,Male,2021,3,3,10,24,3
1654-001-01,7,73,Urban,3,1,67,Male,2021,3,4,7,NA,3
1665-001-01,7,73,Urban,3,2,48,Male,2021,11,5,10,32,3
1666-001-01,7,73,Urban,4,3,51,Male,2021,11,3,7,NA,3
1667-001-01,7,73,Urban,5,4,31,Female,2021,11,1,7,18,2
1669-001-02,7,73,Urban,4,3,28,Male,2021,11,1,10,24,3
1671-001-01,7,73,Urban,3,2,38,Female,2021,11,6,16,18,2
1673-001-01,7,73,Urban,4,2,47,Male,2021,11,5,10,18,2
1685-001-01,7,73,Urban,4,3,37,Female,2021,3,2,10,18,2
1687-001-01,7,73,Urban,5,5,48,Male,2021,3,1,16,NA,3
1691-001-01,7,73,Urban,4,3,46,Male,2021,3,5,10,18,2
1693-001-01,7,73,Urban,2,1,61,Male,2021,3,8,16,18,2
1703-001-01,7,73,Urban,5,4,33,Male,2021,1,5,10,24,3
1704-001-03,7,73,Urban,5,4,24,Male,2021,1,1,7,24,3
1704-001-05,7,73,Urban,3,2,39,Male,2021,1,5,7,18,2
1704-001-07,7,73,Urban,2,1,53,Male,2021,1,7,10,18,2
1705-001-01,6,64,Rural,2,2,45,Male,2021,1,9,5,18,2
1706-001-01,7,73,Urban,4,3,36,Male,2021,1,3,10,25,3
1707-001-01,6,64,Urban,3,1,39,Male,2021,1,5,10,18,2
1708-001-01,7,73,Urban,3,2,53,Male,2021,1,6,10,18,2
1708-001-03,7,73,Urban,5,5,25,Male,2021,1,2,7,24,3
1708-001-07,9,96,Urban,2,1,25,Male,2021,12,2,10,18,2
1709-001-01,6,64,Urban,5,4,42,Male,2021,1,5,5,24,3
1710-001-01,7,73,Urban,4,2,47,Male,2021,1,1,16,12,1
1723-001-02,7,73,Urban,5,4,32,Female,2021,1,1,10,18,2
1723-001-03,7,73,Urban,2,1,63,Male,2021,1,15,7,17,1
1724-001-01,7,73,Urban,5,4,32,Male,2021,1,3,7,15,1
1725-001-01,7,75,Urban,2,1,49,Male,2021,1,5,13,NA,3
1725-001-02,5,52,Urban,2,1,41,Male,2021,12,4,1,18,2
1728-001-01,7,73,Urban,4,3,55,Female,2021,1,9,16,18,2
1728-001-03,51,512,Urban,5,4,22,Male,2021,8,1,7,24,3
1729-001-01,7,73,Urban,5,5,66,Male,2021,1,8,9,18,2
1729-001-06,7,73,Urban,5,5,21,Male,2021,1,1,10,24,3
1732-001-01,7,73,Urban,4,3,35,Male,2021,1,4,7,18,2
1733-001-01,7,73,Urban,5,4,56,Male,2021,1,3,7,18,2
1741-001-01,1,15,Urban,5,5,42,Male,2021,9,2,5,44,3
1743-001-01,7,73,Urban,4,3,37,Male,2021,1,5,10,25,3
1744-001-01,7,73,Urban,3,2,49,Female,2021,1,5,1,NA,3
1744-001-02,6,64,Urban,4,2,31,Male,2021,1,3,9,18,2
1745-001-01,6,64,Urban,4,4,58,Male,2021,1,4,1,18,2
1746-001-01,7,73,Urban,3,1,38,Male,2021,1,4,10,15,1
1747-001-01,7,73,Urban,4,3,37,Male,2021,1,6,7,18,2
1748-001-01,6,64,Urban,2,1,43,Male,2021,12,3,10,18,2
1749-001-01,7,73,Urban,3,1,44,Male,2021,1,3,9,18,2
1761-001-01,7,73,Urban,2,1,47,Male,2021,2,7,10,18,2
1762-001-01,7,73,Urban,4,2,35,Male,2021,2,3,10,18,2
1762-001-02,7,73,Urban,5,4,28,Male,2021,2,3,7,43,3
1763-001-01,7,73,Urban,4,3,47,Male,2021,2,4,9,18,2
1764-001-01,7,73,Urban,2,1,65,Male,2021,2,9,15,18,2
1765-001-01,7,73,Urban,2,1,61,Male,2021,2,6,1,24,3
1765-001-04,7,73,Urban,4,3,24,Male,2021,3,2,10,24,3
1766-001-01,7,73,Urban,5,5,54,Female,2021,2,3,10,18,2
1768-001-01,7,73,Urban,2,1,58,Female,2021,2,2,1,18,2
1768-001-02,7,73,Urban,4,3,26,Male,2021,2,1,7,18,2
