hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,year,month,hhsize,work_head,educ_head,educ_head2
3211-001-02,26,262,Rural,4,5,39,Female,2021,11,5,10,18,2
3223-001-01,12,127,Rural,2,2,62,Male,2020,12,5,1,18,2
3223-001-03,12,127,Rural,4,5,29,Male,2020,12,3,1,24,3
3224-001-01,12,127,Rural,2,2,44,Male,2020,12,3,1,18,2
3225-001-01,12,127,Rural,1,1,92,Female,2020,12,1,15,NA,3
3226-001-02,12,127,Rural,2,2,59,Female,2020,12,4,1,NA,3
3226-001-04,12,127,Rural,4,4,46,Male,2020,12,4,1,18,2
3226-001-05,12,127,Rural,5,5,25,Male,2020,12,3,10,18,2
3227-001-01,12,127,Rural,1,1,46,Male,2020,12,7,1,18,2
3228-001-01,12,127,Rural,1,1,67,Female,2020,12,3,1,NA,3
3229-001-01,12,127,Rural,1,2,38,Female,2020,12,3,1,14,1
3230-001-01,12,127,Rural,3,3,65,Female,2020,12,1,1,16,1
3242-001-02,12,128,Urban,4,3,77,Male,2021,10,4,1,24,3
3242-001-04,12,128,Urban,3,1,37,Male,2021,10,5,7,18,2
3243-001-01,12,128,Urban,5,4,53,Male,2021,10,4,1,18,2
3245-001-01,12,128,Urban,5,4,38,Male,2021,10,6,5,NA,3
3245-001-02,12,128,Urban,2,1,42,Male,2021,10,2,8,18,2
3246-001-02,6,64,Urban,5,5,43,Male,2022,1,4,5,43,3
3247-001-01,12,127,Urban,4,3,34,Male,2021,12,1,1,24,3
3248-001-01,12,128,Urban,5,4,61,Male,2021,10,5,15,18,2
3249-001-02,12,128,Urban,5,5,48,Female,2021,10,5,10,18,2
3261-001-01,12,129,Rural,3,4,45,Male,2021,11,5,1,18,2
3262-001-01,12,129,Rural,3,3,61,Male,2021,11,5,1,14,1
3262-001-03,26,265,Rural,2,2,27,Male,2021,11,5,1,18,2
3263-001-01,12,129,Rural,5,5,76,Male,2021,11,5,1,NA,3
3263-001-04,26,265,Rural,1,1,21,Male,2021,11,3,3,23,3
3264-001-01,12,129,Rural,2,2,44,Female,2021,11,7,1,NA,3
3264-001-03,15,152,Rural,3,4,23,Male,2021,12,4,1,16,1
3265-001-01,12,129,Rural,3,4,80,Male,2021,11,2,1,NA,3
3266-001-02,26,265,Rural,4,4,55,Female,2021,12,1,1,NA,3
3267-001-01,12,129,Rural,1,1,38,Male,2021,11,5,1,18,2
3268-001-01,26,265,Rural,1,2,39,Male,2021,11,4,10,18,2
3280-001-01,53,531,Urban,5,4,68,Male,2021,9,5,5,19,3
3280-001-03,53,531,Urban,4,3,31,Male,2021,9,4,5,34,3
3282-001-01,53,531,Urban,4,3,60,Male,2021,9,4,16,22,3
3283-001-01,53,531,Urban,3,2,66,Female,2021,9,2,16,NA,3
3284-001-01,53,531,Urban,3,1,62,Male,2021,9,3,10,NA,3
3285-001-01,53,531,Urban,3,2,48,Female,2021,9,5,10,NA,3
3286-001-01,53,531,Urban,5,4,45,Male,2021,9,8,10,24,3
3287-001-01,53,531,Urban,2,1,47,Male,2021,9,7,10,18,2
3287-001-03,53,531,Urban,3,2,32,Male,2021,9,4,7,22,3
3291-001-01,53,531,Urban,3,2,56,Female,2021,9,4,11,NA,3
3299-001-01,53,531,Urban,3,2,54,Male,2021,11,6,2,22,3
3300-001-01,53,531,Urban,4,3,57,Male,2021,11,7,5,43,3
3300-001-03,53,531,Urban,5,5,26,Male,2021,12,2,5,NA,3
3300-001-08,53,531,Urban,4,3,36,Male,2021,12,3,5,43,3
3302-001-01,53,531,Urban,5,4,29,Male,2021,11,3,9,25,3
3305-001-01,53,531,Urban,4,3,63,Male,2021,11,6,7,24,3
3305-001-04,53,531,Urban,3,2,32,Male,2021,12,4,2,14,1
3305-001-05,53,531,Urban,5,4,28,Male,2021,11,2,5,24,3
3306-001-01,53,531,Urban,5,4,68,Male,2021,11,5,16,24,3
3308-001-01,53,531,Urban,5,4,57,Male,2021,11,5,10,23,3
3308-001-04,53,531,Urban,5,5,33,Male,2021,12,4,7,43,3
3308-001-06,53,531,Urban,5,5,28,Male,2021,12,2,7,43,3
3319-001-01,53,531,Urban,5,5,57,Male,2021,11,4,4,25,3
3320-001-01,53,531,Urban,5,5,72,Female,2021,11,3,16,34,3
3321-001-01,53,531,Urban,5,4,54,Male,2021,11,5,5,43,3
3321-001-06,53,531,Urban,5,5,42,Female,2022,1,2,7,21,3
3322-001-01,53,532,Urban,3,1,41,Male,2021,11,7,9,24,3
3323-001-01,53,531,Urban,5,4,77,Male,2021,11,3,11,19,3
3324-001-01,53,531,Urban,5,4,41,Male,2021,11,5,10,24,3
3325-001-01,53,531,Urban,5,4,66,Male,2021,11,6,15,15,1
3326-001-01,53,531,Urban,5,5,79,Female,2021,11,1,16,24,3
3337-001-01,53,531,Urban,4,3,46,Male,2020,12,10,10,18,2
3337-001-10,53,531,Urban,4,3,28,Male,2020,12,2,9,24,3
3338-001-01,53,531,Urban,3,2,49,Male,2020,12,4,5,22,3
3338-001-02,53,532,Urban,4,3,39,Male,2021,4,3,10,24,3
3338-001-06,52,521,Urban,4,2,38,Male,2020,12,2,7,18,2
3339-001-01,53,531,Urban,4,2,58,Female,2020,12,9,16,NA,3
3340-001-01,53,531,Urban,3,2,44,Male,2020,12,6,5,22,3
3341-001-01,53,531,Urban,3,2,37,Male,2020,12,6,7,23,3
3341-001-05,53,531,Urban,3,2,29,Male,2020,12,7,7,24,3
3343-001-01,53,531,Urban,3,1,58,Male,2020,12,12,10,24,3
3343-001-07,52,521,Urban,5,4,30,Male,2020,12,3,7,34,3
3344-001-01,53,531,Urban,5,4,38,Male,2020,12,9,9,23,3
3356-001-01,53,531,Urban,2,1,51,Male,2021,3,10,10,15,1
3358-001-01,53,531,Urban,3,2,45,Male,2021,4,3,5,21,3
3360-001-01,53,531,Urban,4,3,43,Male,2021,3,6,7,22,3
3362-001-01,53,531,Urban,3,2,43,Male,2021,3,6,5,24,3
3363-001-01,53,531,Urban,4,3,37,Male,2021,3,7,5,24,3
3364-001-01,53,531,Urban,2,1,39,Male,2021,3,7,9,22,3
3366-001-01,53,531,Urban,5,4,58,Female,2021,4,4,5,25,3
3375-001-01,53,531,Urban,4,2,54,Male,2020,12,6,5,24,3
3375-001-05,7,71,Urban,5,5,28,Male,2022,1,4,10,22,3
3377-001-02,53,531,Urban,2,1,56,Female,2020,12,6,12,23,3
3377-001-03,53,531,Urban,5,4,43,Male,2020,12,3,5,15,1
3378-001-01,53,531,Urban,5,5,46,Male,2020,12,3,10,18,2
3379-001-01,53,531,Urban,4,2,56,Male,2020,12,11,9,34,3
3380-001-02,53,531,Urban,4,2,46,Female,2020,12,6,10,NA,3
3380-001-03,53,531,Urban,5,4,38,Male,2020,12,3,10,24,3
3380-001-05,54,542,Urban,5,5,30,Male,2021,1,2,5,25,3
3381-001-01,53,531,Urban,1,1,49,Male,2020,12,7,10,23,3
3385-001-01,53,531,Urban,1,1,35,Male,2020,12,7,2,32,3
3385-001-03,53,531,Urban,3,2,23,Male,2020,12,3,10,17,1
3387-001-01,53,531,Urban,3,2,57,Male,2020,12,5,16,24,3
3387-001-03,53,531,Urban,4,3,37,Male,2020,12,3,10,41,3
3387-001-04,53,531,Urban,4,3,27,Male,2020,12,4,9,22,3
3394-001-01,53,531,Urban,5,5,55,Male,2021,3,6,5,24,3
3395-001-01,53,532,Urban,5,4,48,Male,2021,3,3,7,23,3
3396-001-01,53,531,Urban,3,2,45,Male,2021,3,5,9,24,3
3397-001-01,53,531,Urban,3,2,41,Male,2021,3,5,9,24,3
3398-001-01,53,531,Urban,4,3,28,Male,2021,3,2,10,17,1
3399-001-01,53,531,Urban,5,5,49,Male,2021,3,5,5,23,3
3400-001-01,53,531,Urban,4,3,61,Male,2021,3,5,5,24,3
3400-001-03,53,531,Urban,5,4,35,Male,2021,3,3,5,43,3
3401-001-01,53,531,Urban,5,4,43,Male,2021,3,7,9,18,2
3401-001-06,53,531,Urban,5,4,33,Male,2021,4,3,10,32,3
3413-001-01,53,531,Urban,3,1,66,Male,2021,11,10,10,NA,3
3414-001-01,53,531,Urban,3,1,49,Male,2021,11,6,9,23,3
3415-001-01,53,531,Urban,4,2,60,Male,2021,11,3,9,43,3
3416-001-01,53,531,Urban,4,2,52,Female,2021,11,3,10,18,2
3417-001-01,53,531,Urban,3,2,46,Male,2021,11,11,9,23,3
3419-001-02,53,531,Urban,2,1,37,Female,2021,11,6,12,22,3
3420-001-01,53,531,Urban,3,2,59,Female,2021,11,6,11,23,3
3432-001-01,53,531,Urban,2,1,70,Female,2021,2,8,11,NA,3
3432-001-07,53,532,Urban,4,3,58,Male,2021,2,6,10,21,3
3433-001-01,53,531,Urban,2,1,51,Female,2021,2,7,11,19,3
3433-001-03,53,531,Urban,3,2,27,Male,2021,2,4,9,21,3
3433-001-04,7,75,Urban,4,3,41,Male,2021,12,2,7,24,3
3434-001-01,53,531,Urban,4,3,34,Male,2021,3,4,9,24,3
3435-001-01,53,531,Urban,5,4,50,Male,2021,2,6,5,34,3
3436-001-01,53,531,Urban,4,3,46,Male,2021,2,2,9,17,1
3436-001-02,53,531,Urban,3,2,26,Male,2021,2,5,9,22,3
3436-001-03,53,532,Urban,4,3,29,Male,2021,2,3,7,24,3
3437-001-01,53,531,Urban,4,2,49,Male,2021,2,7,7,17,1
3438-001-01,53,531,Urban,4,3,39,Female,2021,2,7,10,21,3
3439-001-01,53,531,Urban,2,1,56,Female,2021,2,7,9,23,3
3451-001-01,53,531,Urban,2,1,49,Male,2021,11,6,9,19,3
3452-001-01,53,531,Urban,4,3,38,Male,2021,11,6,7,17,1
3454-001-01,53,531,Urban,3,2,39,Male,2021,11,8,7,15,1
3455-001-01,53,531,Urban,4,3,31,Male,2021,11,4,10,22,3
3457-001-01,53,531,Urban,4,3,26,Male,2021,11,4,7,14,1
3461-001-01,53,531,Urban,1,1,54,Male,2021,11,7,10,19,3
3462-001-01,53,531,Urban,4,4,66,Male,2021,11,3,15,NA,3
3470-001-02,53,531,Urban,4,3,50,Female,2020,12,4,11,19,3
3470-001-03,53,531,Urban,4,3,29,Male,2020,12,3,7,18,2
3471-001-01,53,531,Urban,3,2,41,Female,2020,12,5,10,22,3
3471-001-04,53,531,Urban,5,4,29,Male,2020,12,4,10,22,3
3471-001-05,53,531,Urban,5,5,46,Male,2021,1,1,10,18,2
3472-001-01,53,531,Urban,5,4,69,Male,2020,12,3,7,22,3
3474-001-01,53,531,Urban,5,4,56,Male,2020,12,6,5,23,3
3476-001-02,53,531,Urban,5,5,59,Female,2020,12,5,16,NA,3
3477-001-01,53,531,Urban,4,2,63,Male,2020,12,8,10,19,3
3477-001-03,53,531,Urban,5,4,28,Male,2020,12,4,7,22,3
3478-001-01,53,531,Urban,3,2,66,Male,2020,12,2,16,18,2
3478-001-03,53,531,Urban,1,1,50,Male,2020,12,6,7,13,1
3480-001-01,53,531,Urban,2,1,38,Male,2020,12,9,7,NA,3
3489-001-01,53,531,Urban,2,1,66,Female,2021,1,8,11,13,1
3489-001-03,53,531,Urban,4,2,32,Male,2021,1,4,7,22,3
3489-001-04,52,522,Urban,2,1,60,Male,2021,1,5,1,NA,3
3490-001-01,53,531,Urban,5,5,43,Male,2021,1,5,5,34,3
3491-001-01,53,531,Urban,4,2,35,Male,2021,1,6,10,22,3
3492-001-01,53,531,Urban,2,1,66,Female,2021,1,7,1,NA,3
3492-001-02,53,531,Urban,4,2,31,Male,2021,1,3,10,22,3
3493-001-01,53,531,Urban,5,5,40,Male,2021,1,7,5,43,3
3494-001-01,53,531,Urban,5,4,78,Female,2021,1,5,10,NA,3
3495-001-01,53,531,Urban,3,2,52,Male,2021,1,11,7,17,1
3495-001-03,53,531,Urban,3,2,29,Male,2021,1,4,7,22,3
3496-001-01,53,531,Urban,5,4,32,Male,2021,1,5,9,22,3
3496-001-02,53,531,Urban,2,1,27,Male,2021,1,4,10,22,3
3508-001-01,53,531,Urban,1,1,58,Male,2021,11,10,7,NA,3
3510-001-01,53,531,Urban,3,2,49,Male,2021,11,3,5,23,3
3511-001-02,5,51,Urban,5,5,46,Male,2021,9,4,1,18,2
3512-001-01,53,531,Urban,5,4,41,Male,2021,11,5,10,24,3
3513-001-01,53,531,Urban,5,5,51,Male,2021,12,9,5,45,3
3515-001-01,53,531,Urban,2,1,73,Female,2021,11,5,16,16,1
3527-001-01,53,531,Urban,4,2,45,Male,2021,3,4,5,24,3
3528-001-01,53,531,Urban,4,3,53,Female,2021,3,4,5,19,3
3530-001-01,53,531,Urban,4,2,36,Male,2021,3,7,5,43,3
3531-001-02,53,531,Urban,3,2,42,Female,2021,3,8,10,NA,3
3531-001-03,52,521,Urban,2,1,42,Male,2021,3,6,9,22,3
3532-001-01,53,531,Urban,1,1,52,Male,2021,3,11,10,NA,3
3533-001-01,53,531,Urban,5,4,51,Male,2021,3,6,10,24,3
3534-001-01,53,531,Urban,4,3,67,Female,2021,3,2,10,NA,3
3538-001-01,53,531,Urban,3,2,44,Female,2021,3,5,10,22,3
3546-001-01,53,532,Urban,4,2,58,Female,2021,3,3,1,NA,3
3547-001-01,53,532,Urban,3,2,45,Male,2021,3,7,10,32,3
3547-001-08,1,11,Urban,4,2,59,Male,2021,9,5,1,18,2
3548-001-01,53,531,Urban,5,5,41,Female,2021,12,2,5,24,3
3548-001-03,53,532,Urban,5,4,30,Male,2021,3,3,5,24,3
3549-001-01,53,532,Urban,2,1,66,Male,2021,3,7,1,16,1
3549-001-04,53,531,Urban,4,3,30,Male,2021,4,2,9,24,3
3552-001-02,53,531,Urban,2,1,76,Female,2021,3,10,16,NA,3
3553-001-01,53,532,Urban,4,3,58,Male,2021,3,8,5,23,3
3553-001-03,52,522,Urban,5,4,41,Male,2021,4,3,9,25,3
3553-001-04,53,531,Urban,5,4,36,Male,2021,3,3,9,25,3
3565-001-01,53,532,Urban,4,3,45,Male,2021,11,5,5,45,3
3566-001-02,53,532,Urban,5,5,52,Female,2021,11,7,16,18,2
3566-001-03,53,532,Urban,4,3,35,Male,2021,12,4,10,24,3
3567-001-01,53,532,Urban,5,5,68,Female,2021,11,3,11,24,3
3568-001-01,53,532,Urban,5,4,54,Female,2021,11,2,10,18,2
3568-001-02,53,532,Urban,5,4,57,Male,2021,11,4,10,24,3
3569-001-01,53,531,Urban,5,4,43,Male,2021,11,4,5,23,3
3570-001-01,53,532,Urban,5,4,63,Male,2021,11,8,9,23,3
3571-001-01,53,532,Urban,3,2,46,Male,2021,11,6,4,23,3
3572-001-01,53,532,Urban,3,2,76,Female,2021,11,6,15,19,3
3572-001-03,53,531,Urban,4,3,41,Male,2021,12,3,9,22,3
3584-001-01,53,532,Urban,4,3,47,Female,2021,1,3,10,NA,3
3585-001-01,53,531,Urban,5,5,53,Male,2021,3,1,7,NA,3
3586-001-01,9,93,Urban,1,1,71,Male,2021,12,4,1,NA,3
3586-001-02,9,93,Urban,1,1,28,Male,2021,12,4,1,18,2
3587-001-01,53,532,Urban,3,2,62,Male,2021,1,8,2,24,3
3587-001-03,53,531,Urban,4,3,32,Male,2021,1,4,5,43,3
3587-001-05,53,532,Urban,4,3,25,Male,2021,1,2,9,24,3
3588-001-01,53,532,Urban,3,2,66,Male,2021,1,11,10,NA,3
3589-001-01,53,532,Urban,3,2,47,Male,2021,1,7,9,15,1
3590-001-01,53,532,Urban,2,1,68,Male,2021,1,6,7,22,3
3603-001-01,5,51,Rural,2,2,53,Male,2021,2,5,1,18,2
3604-001-01,5,51,Rural,5,5,41,Female,2022,1,1,10,NA,3
3605-001-01,5,51,Rural,5,5,49,Male,2021,2,1,1,18,2
3606-001-01,5,51,Rural,3,4,48,Female,2021,2,3,1,NA,3
3607-001-01,5,51,Rural,1,2,33,Male,2021,2,6,10,NA,3
3608-001-01,5,51,Rural,2,3,57,Male,2021,2,1,1,18,2
3609-001-02,5,51,Rural,1,1,18,Male,2021,2,2,1,NA,3
3610-001-01,5,51,Rural,5,5,36,Male,2021,2,3,1,18,2
3622-001-01,5,51,Rural,5,5,31,Male,2021,2,3,1,25,3
3622-001-03,5,51,Rural,3,4,35,Male,2021,2,3,1,24,3
3625-001-01,5,51,Rural,3,3,44,Male,2021,2,4,1,18,2
3627-001-01,5,51,Rural,5,5,62,Male,2021,2,3,1,18,2
3632-001-01,5,51,Urban,4,3,60,Male,2021,2,4,5,25,3
3641-001-01,5,52,Rural,1,1,41,Male,2021,2,8,1,18,2
3643-001-01,5,52,Rural,2,2,48,Male,2021,2,7,1,NA,3
3644-001-01,5,52,Rural,2,3,60,Male,2021,2,9,1,NA,3
3645-001-01,5,52,Rural,2,2,34,Male,2021,2,4,1,NA,3
3646-001-01,5,52,Rural,1,1,32,Male,2021,2,4,10,NA,3
3647-001-01,5,52,Rural,5,5,62,Female,2021,2,1,1,NA,3
3648-001-01,5,52,Rural,1,1,31,Female,2021,2,5,1,NA,3
3660-001-02,5,54,Rural,4,5,57,Female,2021,11,7,10,18,2
3660-001-04,5,53,Rural,5,5,35,Male,2021,11,5,8,43,3
3660-001-10,5,54,Rural,5,5,25,Male,2021,11,1,7,22,3
3662-001-01,5,54,Rural,2,3,58,Male,2021,11,4,2,18,2
3662-001-03,5,54,Rural,3,4,33,Male,2021,11,3,7,25,3
3663-001-01,5,54,Rural,3,4,39,Male,2021,11,6,2,14,1
3664-001-01,5,54,Rural,1,1,46,Male,2021,11,2,16,18,2
3665-001-01,5,54,Rural,3,4,37,Male,2021,11,5,1,15,1
3665-001-05,5,54,Rural,2,3,26,Male,2021,11,3,1,24,3
3666-001-01,5,54,Rural,3,4,55,Male,2021,11,7,1,NA,3
3667-001-01,5,54,Rural,1,2,57,Female,2021,11,2,1,NA,3
3667-001-02,5,54,Rural,2,3,36,Male,2021,11,1,1,14,1
3667-001-03,5,54,Rural,2,3,39,Male,2021,11,4,1,18,2
3682-001-02,5,55,Urban,5,4,59,Female,2021,2,2,7,18,2
3682-001-03,1,15,Urban,5,5,28,Male,2021,12,1,10,43,3
3682-001-04,1,15,Urban,5,5,24,Male,2021,12,1,10,24,3
3684-001-01,5,55,Urban,4,3,44,Male,2021,1,4,6,25,3
3685-001-02,5,55,Urban,5,5,37,Female,2021,2,3,5,42,3
3686-001-02,5,55,Urban,5,4,63,Female,2021,1,5,15,25,3
3687-001-01,5,55,Urban,3,2,56,Male,2021,1,5,15,24,3
3689-001-01,5,55,Urban,5,4,57,Female,2021,1,3,5,22,3
3698-001-01,5,55,Urban,5,4,57,Male,2021,10,7,7,18,2
3699-001-01,5,55,Urban,5,5,26,Male,2021,10,1,1,NA,3
3699-001-02,5,55,Urban,4,3,25,Female,2021,10,6,10,NA,3
3700-001-01,5,52,Rural,4,5,36,Male,2021,10,4,7,18,2
3700-001-04,5,55,Urban,3,2,63,Male,2021,10,6,1,18,2
3702-001-01,12,128,Urban,5,4,64,Female,2021,12,7,7,25,3
3702-001-07,5,55,Urban,5,5,29,Female,2021,10,2,9,25,3
3703-001-01,5,55,Urban,4,3,53,Male,2021,10,3,7,18,2
3703-001-02,7,73,Urban,4,3,46,Female,2022,1,5,10,14,1
3705-001-01,5,55,Urban,3,2,61,Female,2021,10,2,7,17,1
3705-001-02,5,55,Urban,5,4,35,Male,2022,1,5,7,18,2
3717-001-01,5,56,Rural,3,3,38,Female,2021,1,3,1,18,2
3718-001-01,5,56,Rural,1,1,40,Male,2021,1,5,1,18,2
3719-001-01,5,56,Rural,2,3,37,Male,2021,1,6,1,18,2
3720-001-01,5,56,Rural,1,2,45,Male,2021,1,7,1,18,2
3721-001-01,5,56,Rural,2,2,49,Male,2021,1,3,1,18,2
3722-001-01,5,56,Rural,3,4,35,Male,2021,1,3,1,18,2
3723-001-01,5,56,Rural,2,2,47,Male,2021,1,4,1,NA,3
3723-001-03,5,56,Rural,2,2,22,Male,2021,1,4,1,NA,3
3724-001-01,5,56,Rural,2,2,55,Male,2021,1,4,1,18,2
3737-001-01,9,91,Rural,5,5,62,Male,2020,12,1,1,18,2
3737-001-02,9,91,Rural,5,5,61,Female,2020,12,1,1,18,2
3738-001-01,9,91,Rural,5,5,61,Male,2020,12,3,1,18,2
3738-001-02,9,91,Rural,2,3,32,Male,2020,12,2,1,NA,3
3739-001-01,9,91,Rural,2,3,85,Male,2020,12,3,1,NA,3
3740-001-01,9,91,Rural,1,1,69,Male,2020,12,9,1,18,2
3741-001-01,9,91,Rural,4,4,54,Male,2020,12,4,1,18,2
3741-001-03,9,95,Rural,5,5,36,Male,2020,12,3,10,18,2
3741-001-04,9,91,Rural,4,5,32,Male,2020,12,2,1,24,3
3742-001-01,9,91,Rural,2,2,48,Female,2020,12,8,1,NA,3
3743-001-01,9,91,Rural,3,4,66,Female,2020,12,6,1,NA,3
3755-001-01,9,91,Rural,5,5,59,Female,2021,3,2,10,NA,3
3756-001-01,9,91,Rural,1,1,56,Female,2021,3,5,2,18,2
3756-001-03,9,95,Rural,5,5,24,Male,2021,3,1,10,24,3
3757-001-01,9,91,Rural,4,4,43,Male,2021,3,1,2,NA,3
3757-001-02,9,91,Rural,2,3,25,Male,2021,3,4,10,18,2
3758-001-01,9,91,Rural,2,2,64,Male,2021,3,5,2,18,2
3759-001-02,9,91,Rural,3,4,72,Male,2021,3,5,2,14,1
3760-001-01,9,91,Rural,2,3,45,Female,2021,3,3,1,18,2
3761-001-01,9,91,Rural,4,5,42,Male,2021,3,4,2,13,1
3762-001-01,9,91,Rural,4,4,51,Male,2021,3,4,10,18,2
3774-001-01,9,92,Rural,1,1,81,Male,2020,12,3,1,NA,3
3775-001-01,9,92,Rural,1,2,40,Male,2020,12,4,1,18,2
3775-001-03,9,95,Rural,4,4,58,Female,2021,3,2,16,18,2
3776-001-01,9,92,Rural,4,5,36,Male,2020,12,4,1,18,2
3777-001-01,9,92,Rural,1,1,35,Male,2020,12,5,1,18,2
3778-001-01,9,92,Rural,1,1,72,Male,2020,12,1,1,15,1
3778-001-02,9,92,Rural,4,4,76,Female,2020,12,2,1,15,1
3779-001-02,9,92,Rural,4,4,60,Female,2020,12,1,1,18,2
3780-001-01,9,92,Rural,1,1,42,Female,2020,12,5,1,15,1
3781-001-01,9,92,Rural,1,1,36,Male,2020,12,4,1,18,2
3781-001-02,9,92,Rural,1,1,41,Female,2020,12,4,1,18,2
3793-001-01,9,93,Rural,1,1,27,Male,2021,11,6,1,22,3
3794-001-01,9,93,Rural,2,3,44,Male,2021,11,6,1,18,2
3794-001-04,9,93,Rural,4,4,26,Male,2021,11,2,1,14,1
3795-001-01,9,93,Rural,1,1,45,Male,2021,11,5,1,18,2
3796-001-01,9,93,Rural,3,3,37,Female,2021,11,4,1,15,1
3797-001-01,9,93,Rural,3,4,53,Male,2021,11,4,1,18,2
3797-001-03,7,72,Urban,5,5,28,Male,2021,12,1,10,25,3
3797-001-04,9,93,Rural,3,4,21,Male,2021,11,4,1,24,3
3797-001-06,9,97,Urban,3,2,25,Male,2021,11,3,13,24,3
3798-001-01,9,93,Rural,4,5,27,Male,2021,11,1,10,18,2
3798-001-02,9,93,Rural,1,1,45,Female,2021,11,5,1,NA,3
3799-001-01,9,93,Rural,4,4,71,Female,2021,11,2,1,15,1
3800-001-01,9,93,Rural,1,2,54,Male,2021,11,3,1,18,2
3812-001-01,9,93,Rural,1,1,73,Male,2021,1,9,1,12,1
3814-001-01,9,93,Rural,2,2,82,Female,2021,1,6,1,15,1
3815-001-01,9,93,Rural,5,5,48,Female,2021,1,1,1,18,2
3816-001-01,9,97,Urban,5,5,38,Male,2021,1,3,5,34,3
3816-001-02,9,93,Rural,4,5,32,Female,2021,1,4,7,22,3
3817-001-01,9,93,Rural,3,4,48,Male,2021,1,4,1,18,2
3817-001-02,9,91,Urban,3,1,36,Male,2021,1,4,9,19,3
3818-001-01,9,93,Rural,5,5,63,Male,2021,1,3,1,18,2
3819-001-01,9,93,Rural,4,4,58,Male,2021,1,1,1,18,2
3822-001-02,9,93,Rural,3,4,41,Female,2021,1,4,10,18,2
3831-001-01,9,93,Rural,2,2,28,Male,2021,3,4,1,18,2
3831-001-02,9,93,Rural,4,4,48,Male,2021,3,3,1,18,2
3832-001-01,9,93,Rural,1,1,30,Male,2021,3,6,1,18,2
3833-001-01,9,93,Rural,5,5,55,Male,2021,3,3,1,18,2
3833-001-04,9,95,Rural,4,5,55,Male,2021,12,5,5,25,3
3833-001-05,9,93,Rural,5,5,48,Male,2021,3,5,1,18,2
3834-001-01,9,93,Rural,3,4,47,Male,2021,3,1,1,18,2
3834-001-02,9,93,Rural,3,4,33,Female,2021,3,4,1,13,1
3835-001-01,9,93,Rural,1,1,64,Female,2021,3,2,1,NA,3
3836-001-01,9,93,Rural,2,3,67,Male,2021,3,2,1,15,1
3837-001-01,9,93,Rural,1,1,58,Male,2021,3,5,1,18,2
3838-001-01,9,93,Rural,2,3,84,Male,2021,3,2,16,15,1
3850-001-01,9,94,Rural,4,5,39,Male,2021,2,5,1,13,1
3851-001-02,9,94,Rural,2,3,61,Female,2021,2,3,1,NA,3
3852-001-01,9,94,Rural,3,3,62,Male,2021,2,3,1,NA,3
3852-001-05,9,95,Rural,4,5,49,Male,2021,3,6,10,24,3
3852-001-07,9,97,Rural,4,5,22,Male,2021,3,1,7,18,2
3854-001-01,9,94,Rural,2,3,51,Male,2021,2,5,1,18,2
3854-001-03,9,94,Rural,5,5,20,Male,2021,2,1,9,22,3
3855-001-02,9,94,Rural,3,4,42,Female,2021,2,2,1,NA,3
3856-001-01,9,94,Rural,1,1,41,Female,2021,2,6,1,18,2
3859-001-01,9,94,Rural,3,4,57,Female,2021,2,4,1,NA,3
3869-001-01,9,96,Rural,2,2,35,Male,2021,2,4,1,13,1
3870-001-01,9,96,Rural,2,2,56,Male,2021,2,2,1,18,2
3871-001-01,9,96,Rural,2,2,55,Male,2021,2,4,1,18,2
3871-001-03,9,96,Rural,2,3,23,Male,2021,2,3,1,22,3
3872-001-01,9,96,Rural,1,1,49,Male,2021,2,6,1,NA,3
3872-001-03,9,96,Rural,3,3,32,Male,2021,2,3,1,18,2
3872-001-04,9,95,Rural,4,5,32,Male,2021,3,3,10,23,3
3874-001-01,9,96,Rural,3,4,73,Female,2021,2,3,1,15,1
3875-001-01,9,96,Rural,4,5,48,Female,2021,2,3,1,NA,3
3876-001-01,9,96,Rural,1,1,32,Male,2021,2,2,1,NA,3
3876-001-02,9,96,Rural,2,2,41,Male,2021,2,5,1,16,1
3888-001-01,8,82,Rural,1,1,37,Male,2021,12,5,1,23,3
3889-001-01,9,93,Rural,3,4,50,Male,2021,10,2,1,15,1
3889-001-02,9,97,Urban,4,2,46,Male,2021,10,4,1,18,2
3890-001-01,9,97,Urban,2,1,75,Male,2021,10,4,1,18,2
3891-001-01,9,97,Urban,1,1,52,Male,2021,10,5,1,24,3
3892-001-01,9,97,Urban,1,1,36,Female,2021,10,4,1,18,2
3892-001-02,9,97,Rural,3,4,30,Female,2021,10,2,10,22,3
3892-001-03,9,97,Rural,5,5,25,Male,2021,10,3,10,18,2
3893-001-01,9,97,Urban,2,1,79,Male,2021,10,6,1,19,3
3894-001-01,9,97,Urban,1,1,51,Male,2021,10,3,1,18,2
3895-001-01,9,97,Urban,3,2,61,Male,2021,10,5,5,18,2
3895-001-04,7,73,Urban,4,2,37,Female,2021,12,4,7,18,2
3907-001-01,9,97,Urban,2,1,43,Male,2021,3,4,NA,NA,3
3908-001-01,7,73,Urban,5,5,35,Male,2022,1,4,5,24,3
3909-001-01,9,97,Urban,3,2,64,Male,2021,3,5,1,18,2
3910-001-01,9,97,Urban,5,4,46,Male,2021,3,4,10,24,3
3911-001-01,9,97,Urban,2,1,36,Male,2021,3,4,10,18,2
3912-001-01,9,97,Urban,5,5,32,Male,2021,3,4,5,NA,3
