hhid,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
1000-001-01,2518.4914949301883,106.91388157304868,2.4282687140748633,0.7659897755711388,13.843175886567758,2.1963424133245604,701.8609432690262,3.8525555021039124,22.52562455896282,13.242731745885987
1000-001-02,2517.80366794377,89.531247223763,2.2859719772090017,0.9533355995451958,11.832163486714581,1.6831190728869205,307.6264928567838,0.6679377784153108,15.292125168281721,9.438444221740644
1000-001-03,1850.7277334579592,296.28066329002155,1.6971431910891068,1.0763889260923891,9.19895729973913,1.4187612206798401,625.9611109589382,1.583927991059757,19.066783701349678,9.403698152589559
1000-001-06,2800.49118669305,288.7506263319242,2.7085525885101647,1.147347105255039,21.949563914559604,2.111796127723978,990.9416952618271,4.179714943022212,27.57984086646761,16.053194932984177
1001-001-01,1739.3693624958487,117.88440606425537,1.2883397060720527,1.0170419476409998,7.736561414779631,1.2704341001617094,452.04769417054376,1.1810285518294004,13.356918083518075,9.064044668407906
1002-001-01,2905.921761331593,377.1168983889648,2.179618143723431,1.8682310378833589,12.754709500770051,2.090170063992651,896.142022841298,2.901036152716646,25.233274061704396,15.119314062319269
1003-001-01,1592.3390808107229,247.71515741500974,1.4583687172504587,0.6072405750392554,8.434285722636956,1.6000515699375917,545.1002869630846,0.5841979337351941,16.101651045628902,8.73572978494371
1005-001-01,1435.871551038149,149.8432900689055,0.9058149469279727,0.833748903402211,6.665132404048383,0.9733996142738304,234.3361867621801,1.7628810930200436,8.655665591834039,7.0040304742061945
1006-001-01,1960.8720277880072,276.5386029207029,1.3767310332450164,1.7743069093500528,8.6056549021618,1.2617629185021966,512.8509941676374,5.0900371313055945,15.466173306743144,11.404338628424242
1006-001-03,1287.7374872945998,251.05424405362743,0.8578426540746755,0.5873377518464622,6.528741433587901,0.8713301376075339,248.29193697432962,4.627785090253507,9.78811981469474,5.157095936341292
1006-001-04,3266.739154450975,161.851003684153,1.8846641043315422,1.4501813695496932,15.41516801716396,1.7372875895170121,509.9179542795807,1.8237078958344755,25.920517359189475,14.480890236898524
1006-001-05,2343.516281424499,272.96916087025136,1.1787322067919428,0.9532538451388808,12.257274042948389,1.1722561731115595,319.915016855936,4.1991003091695145,14.255702339681555,9.47935381274625
1007-001-01,2318.800765910389,274.27632637350393,1.8781195587463992,1.7349011555257337,11.085936856874577,1.8931217477598579,623.2186517506018,2.4674582749640037,19.067692145051318,12.624385393532041
1019-001-01,1303.503858958545,252.7703037351851,0.37414253536521974,0.9129226140684396,5.268838203837415,0.5379758252758765,135.86751869501785,1.947242962419517,7.327501342335519,5.065641414134049
1020-001-01,2820.5580678197007,376.4795951128663,1.6838668622197903,1.1162290926502767,20.578005424554558,2.049538354456236,293.4353115758345,16.964419602710194,23.361370152656335,15.963258787840928
1022-001-01,2023.2888552394559,164.4294531800034,0.8178525482519319,0.6310813396400957,11.96441207483911,0.627256536637518,120.22592193425356,11.759559375634604,14.828981135456111,9.662797861609727
1023-001-01,2162.0748374029486,354.09030391549214,0.7664471007581481,0.8914480717269458,8.531045880912359,0.9190979937227672,209.1055804532776,1.3833548776232172,14.632732507781466,7.2203880751205904
1024-001-01,1944.866650242404,133.35761948801724,0.8514268268645244,0.5641115176750184,10.93623413373183,0.8070895729904405,124.96938516664277,12.613480261412912,11.023896332229658,8.555607331746355
1038-001-02,1104.5771528240098,81.17181499092847,0.830390429821632,0.3541616450031994,7.110709542558016,0.6503861584902669,185.95856211881153,1.1693635017275206,8.564717925628932,4.855191950831982
1041-001-01,8353.655809743686,884.5938464128734,4.441880074973114,3.817881423467053,48.08811837533468,3.5846980196423566,999.5819091607965,10.286976647716207,57.937270042964116,39.00772760826463
1042-001-01,3620.5986329145244,228.6671319740822,2.4345456055578225,1.6321734656842526,27.750939776714027,2.3599167302617836,778.5021392532191,23.512788336125674,30.181941648491087,22.27581750976569
1042-001-02,3750.488527755242,572.5037417006894,2.483811908067469,1.8497928186074724,32.640881067956805,3.931676410838267,669.9933669843128,36.75322083622681,30.752827551651347,23.29588343178345
1043-001-01,1078.650123306665,171.47189018567016,0.7895555420949119,0.5924469912089866,6.872401023792296,0.8126976591236941,221.48394555805743,1.2589969804930008,10.552041963279368,5.399483076146118
1044-001-01,329.2959862266156,115.24000017911425,0.22302304376063906,0.17619435057138605,1.9649581836348489,0.3294742566508631,83.41731725038755,0,3.612421997518584,1.298540013594997
1045-001-01,1488.9079179672108,173.68633394782998,1.8707125009531098,0.5939062771004415,9.66575354872534,1.5939149440260258,798.5947182629976,5.784406764964214,20.188178498201253,10.433594022855688
1058-001-01,1924.8207843372827,100.83051299493374,1.395737338661123,0.6730278376667573,12.82367718940008,1.2861318223268037,330.22386531759753,5.334987392540045,14.784785285291719,9.281491737523616
1059-001-01,755.7248377841407,69.34477936521702,0.5100290133558868,0.5867471685926107,4.944564190393743,0.41465777007062926,168.3798163901927,3.6044576527947503,5.627929304009468,4.760717482576448
1059-001-03,541.4291469291735,137.55842159070784,0.4815311980848137,0.5061214522112748,7.12464157208146,0.48728740465766,125.22861485361344,0.6737387754505233,7.356739836738993,2.5877867247132675
1059-001-06,1497.3795599843502,23.24687914152972,0.8552628194603682,0.5531442018181798,9.690398805132858,1.027934603958584,93.07779136468649,2.0867704172675294,10.476913412083617,7.673370391459255
1060-001-01,1292.0846293827333,79.06763167729298,0.984599038138862,0.4712325780341238,7.985389394868871,1.1070104742003644,178.3825756573385,0,10.019190866445,5.611361204899361
1061-001-03,1752.1947817505452,123.83545231905755,1.3781213859443322,0.6953797543852251,15.816053139463742,1.7029068902059397,250.04567703291585,3.3978953075581315,14.954460704182445,7.9804523950679505
1062-001-01,1767.5606660780097,156.04462949425425,1.373171100386864,0.8557279696557926,15.064517593007803,1.5784658767925244,343.2553135311746,5.342855935352368,20.254979393594624,9.884019155599427
1063-001-01,1242.3303125157634,154.08953671977162,1.0463650995234184,0.7758772934606163,13.214808877284058,0.8892362363977473,284.33340608231333,1.3350089653727302,12.692740487874179,7.044764847331192
1064-001-01,1911.8855168488042,353.4989673295329,1.2816524109328253,1.1278241378105383,22.849770851157498,2.7751086032109997,422.2931351163295,21.112407589955303,27.297971811611685,15.539656500538712
1076-001-01,2582.7755390951015,308.6270247310505,2.249589530724239,1.3284406646673097,14.981270803521985,2.3576154496868376,659.1979017315125,0.8416887675706203,24.376619297710995,12.995123668179488
1077-001-01,4653.015670347422,232.8208004507021,3.119526581705026,1.678376777448479,26.059455764950453,3.5239336374970316,622.1399290743136,10.535056125271527,34.09227070956257,21.379762948398202
1079-001-01,942.8148508656637,70.0898833846411,0.5901159057468248,0.5882955408830056,4.348933173119998,0.53314690679725385,161.62662076270544,3.460688929548133,5.8560552066723766,4.8406115538138454
1080-001-01,1405.5761964055084,19.782486003882404,0.8677707905342776,0.38182177558991187,6.584701573430236,0.8905213755806071,119.7257957560854,0.07911843967285992,7.6472512968954565,4.772895387760658
1081-001-01,3241.1569878569603,461.2739355792145,1.6381722667112855,2.7058812114772928,16.555411144016126,2.5016331431393994,395.45884710790625,16.936894069354775,19.312728461556407,17.586567200068544
1082-001-01,2033.8866286319546,510.05867569803365,0.9890095027879752,1.7289001736197143,8.887936118549135,1.4145899619784594,434.4398537196645,3.133914234408197,16.32410315697127,9.87116528689727
