item_code,item_name,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
101,RICE (PADDY),345,0,0.305,0.04,3.85,0.31014220705347,16,0,1.85,1.37
102,RICE (HUSKED),353,0,0.07,0.11,1.1,NA,9,0,0.9,1.32
103,"MAIZE (GREEN, COB)",157,8,0.18,0.1,1.55,NA,78,0,1.2,1.95
104,MAIZE (GRAIN),344.850299401198,0.59880239520958,0.25748502994012,0.10059880239521,2.0059880239521,0.341763611843538,69.8622754491018,0,2.63892215568862,1.8925748502994
105,MAIZE (FLOUR),355,3.66666666666667,0.26,0.106666666666667,2.06666666666667,0.277186621056632,34.6666666666667,0,2.26666666666667,1.47333333333333
106,MILLET AND SORGHUM (GRAIN),335.642857142857,0.658730158730159,0.236825396825397,0.108412698412698,3.22063492063492,0.355119657041498,84.1587301587302,0,6.0015873015873,2.17603174603175
107,MILLET AND SORGHUM (FLOUR),335.008108108108,0.294594594594595,0.235891891891892,0.107945945945946,3.1972972972973,NA,NA,0,13.2243243243243,2.27778378378378
109,BREAD,319.880125523013,11.6541841004184,0.236541841004184,0.0682740585774059,2.92171548117155,NA,15.3456066945607,0.0357196652719665,2.2015690376569,1.22193723849372
111,"MACARONI, SPAGHETTI",354.727272727273,0,0.07,0.0586363636363636,1.1,0.166912732156892,16.0454545454545,0,1.04090909090909,0.6
112,OTHER CEREAL PRODUCTS,355.5,0,0.23,0.24,1.95,0.541734104046243,124,0,8.55,3.065
201,CASSAVA FRESH,95,5,0.05,0.05,0.35,0.289811320754717,22,0,0.3,0.36
202,CASSAVA DRY/FLOUR,343.211956521739,0.442391304347826,0.0966358695652174,0.0532717391304348,1.37788043478261,0.0952989130434782,75.6684782608696,0,2.2433152173913,0.391195652173913
203,SWEET POTATOES,92,4.5,0.07,0.03,0.75,0.0973384030418251,15,0,0.7,0.21
204,YAMS/COCOYAMS,120,15.3333333333333,0.103333333333333,0.0266666666666667,0.733333333333333,0.280093632958802,20.6666666666667,0,0.733333333333333,0.316666666666667
205,IRISH POTATOES,173,1,0.23,0.01,0.4,0.0853298153034301,27,0,0.9,0.34
206,"COOKING BANANAS, PLANTAINS",97,0,0.06,0.04,0.33,0.110255220417633,19,0,0.8,0.23
207,OTHER STARCHES,97,3,0.1,0.03,0.7,0.190029325513197,22,0,0.7,0.6
301,SUGAR,383.454330575722,0,0,0,0.0910011818335303,NA,0.827283471213912,0,0.587371264561877,0.0248185041364174
302,SWEETS,471.024154589372,27.804347826087,0.0746932367149758,0.147536231884058,2.2121376811594202,0.0511908212560387,26.8212560386474,0.20207729468599,1.8851690821256,1.04753623188406
