item_code,item_name,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
6022,CHINESS/SPINACH,27,189,0.03,0.18,0.4,0.242857142857143,110,0,1.7,1
6023,OTHER GREEN VEGETABLE,46.65478132525442,175.21370309951064,0.13595199254253101,0.2346873300706906,1.5036059970480855,0.29735106652811233,143.356257282685,0,5.001724539734326,0.855382583702323
7021,LEMON/LIME,39.42791234140715,1.97116493656286,0.0251441753171857,0.0248558246828143,0.2,0.0428571428571429,9.54325259515571,0,0.154325259515571,0.1
7022,ORANGE/TANGERINE,42.38223140495868,4.847107438016528,0.0415289256198347,0.030764462809917358,0.20382231404958678,0.0516666666666667,50.9297520661157,0,0.19235537190082644,0.0519111570247934
7023,OTHER CITRUS FRUITS,65.91304347826087,13.173913043478262,0.04,0.0821739130434782,0.3991304347826087,0.035217391304347825,16.3478260869565,0,0.8130434782608695,0.154347826086957
7031,MANGOES,54.5,49.5,0.025,0.035,0.43,NA,40,0,0.30000000000000004,0.115
7032,AVOCADO,185,2,0.07,0.15,1.8,0.239330543933054,67,0,1,0.39
7033,OTHER FRUITS,61.611636363636364,15.25709090909091,0.0451684848484849,0.0660315151515151,0.44713939393939406,0.07201314182314918,25.7688484848485,0,0.7026909090909094,0.277968484848485
8041,CHICKEN,207,75,0.14,0.12,6.4,0.267647058823529,11,0.63,2.5,0.89
8042,OTHER POULTRY,182.5,20.5,0.185,0.315,3.5549999999999997,0.300997996609647,2,0.435,2.05,1.515
8081,DAGAA (FRESH),333,141,0.34,0.52,18.2,NA,46,60,6.9,16
8082,KOLEKOLE (FRESH),106.973984812616,12.3103323372272,0.0674068899496773,0.0826002509669992,4.21364096195392,NA,13.586965239777,2.91700391974231,1.2270627805591099,0.944461132456242
8083,TILAPIA (FRESH),88,10,0.02,0.09,3.2,0.18,5,1.5,1.7,0.91
8084,OTHER FRESH FISH AND SEAFOOD,108.4681682436015,12.492268832509975,0.0711401378771387,0.0820175277010243,4.293464232883977,0.39074518326993285,14.2631806637082,3.028591643640627,1.1898194200228862,0.947174914175668
11011,BUNS,340.5,47.5,0.145,0.065,1.3,0.0636897932671519,15.5,0.2,2,0.65
11021,CAKES AND BISCUITS,429.3342177136169,35.3593445181428,0.113464689816621,0.0934763948497854,0.8690596956691379,0.0598864160101214,15.7945766679672,0.18999219664455716,1.3311353882169332,0.653172063987515
110,"BUNS, CAKES AND BISCUITS",360.104904162923,44.6644579215334,0.144295073375262,0.0758112458820006,1.23753369272237,NA,17.3050314465409,0.199524558250973,1.87453578915843,0.644828541479485
401,"PEAS, BEANS, LENTILS AND OTHER PULSES",297.55508235132,4.30226724553787,0.718678657570119,0.129651988146923,1.87877017435049,NA,346.977603197574,0,7.06005127144925,3.08644311212184
601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO",28.6726614245741,57.0003453405589,0.0435051181241809,0.054752594481635,0.4235359331279,NA,20.0389792087274,0,0.799919420536252,0.253411344880105
602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES",41.9154727793696,160.735746023836,0.117148581869524,0.2135256010963,1.28806237282505,NA,133.993382749886,NA,4.26928283709148,0.80581205099456
702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)",42.4564102564103,4.05948717948718,0.0341538461538461,0.0311692307692308,0.213641025641026,NA,30.4892307692308,0,0.212051282051282,0.0793333333333334
703,"MANGOES, AVOCADOES AND OTHER FRUITS",89.0617923186344,22.0609388335704,0.0452341394025604,0.0770816500711237,0.765832147937411,NA,39.7796870554765,0,0.656512091038407,0.257296728307255
804,CHICKEN AND OTHER POULTRY,198.117424242424,55.2408008658009,0.156314935064935,0.190698051948052,5.36853354978355,0.279738578475423,7.73701298701299,0.559301948051948,2.33685064935065,1.11659632034632
808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),106.973984812616,12.3103323372272,0.0674068899496773,0.0826002509669992,4.21364096195392,NA,13.586965239777,2.91700391974231,1.2270627805591099,0.944461132456242
